127.0.0.1 - - [26/Apr/2018:00:24:56 +0200] "GET /twitter/js/models.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:24:56 +0200] "GET /twitter/js/connexion.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:24:56 +0200] "GET /twitter/css/main.css HTTP/1.1" 200 11941
127.0.0.1 - - [26/Apr/2018:00:24:56 +0200] "GET /twitter/js/tools.js HTTP/1.1" 200 11530
127.0.0.1 - - [26/Apr/2018:00:24:56 +0200] "GET /twitter/user/info?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC&id=10 HTTP/1.1" 200 131
127.0.0.1 - - [26/Apr/2018:00:24:56 +0200] "GET /twitter/friends/listfriends?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC HTTP/1.1" 200 235
127.0.0.1 - - [26/Apr/2018:00:24:56 +0200] "GET /twitter/ressources/photo_de_profil.jpg HTTP/1.1" 200 32701
127.0.0.1 - - [26/Apr/2018:00:24:56 +0200] "GET /twitter/message/listall HTTP/1.1" 200 1508
127.0.0.1 - - [26/Apr/2018:00:25:07 +0200] "GET /twitter/js/tools.js HTTP/1.1" 200 11570
127.0.0.1 - - [26/Apr/2018:00:25:08 +0200] "GET /twitter/user/info?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC&id=10 HTTP/1.1" 200 131
127.0.0.1 - - [26/Apr/2018:00:25:08 +0200] "GET /twitter/friends/listfriends?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC HTTP/1.1" 200 235
127.0.0.1 - - [26/Apr/2018:00:25:45 +0200] "GET /twitter/js/tools.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:25:45 +0200] "GET /twitter/friends/listfriends?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC HTTP/1.1" 200 235
127.0.0.1 - - [26/Apr/2018:00:25:45 +0200] "GET /twitter/user/info?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC&id=10 HTTP/1.1" 200 131
127.0.0.1 - - [26/Apr/2018:00:26:47 +0200] "GET /twitter/index.html HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:26:48 +0200] "GET /twitter/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:26:48 +0200] "GET /twitter/js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:26:48 +0200] "GET /twitter/js/tools.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:26:48 +0200] "GET /twitter/js/posts.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:26:48 +0200] "GET /twitter/js/models.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:26:48 +0200] "GET /twitter/js/connexion.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:26:48 +0200] "GET /twitter/friends/listfriends?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC HTTP/1.1" 200 235
127.0.0.1 - - [26/Apr/2018:00:26:48 +0200] "GET /twitter/user/info?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC&id=10 HTTP/1.1" 200 131
127.0.0.1 - - [26/Apr/2018:00:27:05 +0200] "GET /twitter/index.html HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:27:05 +0200] "GET /twitter/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:27:05 +0200] "GET /twitter/js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:27:05 +0200] "GET /twitter/js/posts.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:27:05 +0200] "GET /twitter/js/tools.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:27:05 +0200] "GET /twitter/js/connexion.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:27:05 +0200] "GET /twitter/js/models.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:27:05 +0200] "GET /twitter/user/info?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC&id=10 HTTP/1.1" 200 131
127.0.0.1 - - [26/Apr/2018:00:27:05 +0200] "GET /twitter/friends/listfriends?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC HTTP/1.1" 200 235
127.0.0.1 - - [26/Apr/2018:00:27:08 +0200] "GET /twitter/index.html HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:27:08 +0200] "GET /twitter/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:27:08 +0200] "GET /twitter/js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:27:08 +0200] "GET /twitter/js/tools.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:27:08 +0200] "GET /twitter/js/posts.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:27:08 +0200] "GET /twitter/js/models.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:27:08 +0200] "GET /twitter/js/connexion.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:27:08 +0200] "GET /twitter/friends/listfriends?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC HTTP/1.1" 200 235
127.0.0.1 - - [26/Apr/2018:00:27:08 +0200] "GET /twitter/user/info?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC&id=10 HTTP/1.1" 200 131
127.0.0.1 - - [26/Apr/2018:00:27:24 +0200] "GET /twitter/index.html HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:27:24 +0200] "GET /twitter/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:27:24 +0200] "GET /twitter/js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:27:24 +0200] "GET /twitter/js/posts.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:27:24 +0200] "GET /twitter/js/tools.js HTTP/1.1" 200 11595
127.0.0.1 - - [26/Apr/2018:00:27:24 +0200] "GET /twitter/js/models.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:27:24 +0200] "GET /twitter/js/connexion.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:00:27:24 +0200] "GET /twitter/friends/listfriends?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC HTTP/1.1" 200 235
